"To the door","До дверей"
"To the warehouse","На склад"
"Novaposhta","Новая Пошта"
"Min: 5","Мінімум 5"
"Enabled","Увімкнено"
"Carrier Name","Назва Доставки"
"Sort Order","Позиція"
"Ship to Applicable Countries","Доставка в"
"Ship to Specific Countries","Доставка в країни"
"Displayed Error Message","Текст помилки якщо наявна"
"API key","Ключ доступу"
"Default Package Length (sm)","Довжина товару стандартне значення (см)"
"Default Package Width (sm)","Ширина товару стандартне значення (см)"
"Default Package Height (sm)","Висота товару стандартне значення (см)"
"Default Package Weight","Вага товару стандартне значення"
"Sender City","Місто відправлення"
"Sender Warehouse","Склад відправлення"
"Complete status","Кінцевий статус замовлення"
"Novaposhta: Status","Новая пошта: Статус"
"Novaposhta: Barcode","Новая пошта: Декларація"
"Declaration","Декларація"
"Status","Статус"
"Delete","Видалити"
"Successfully Sent, declaration №%s","Успішно відправлено, декларація №%s"
"Declaration №%s, canceled","Декларація №%s, відмінена"
"Sender","Відправник"
"Contact Sender","Агент"
"Recipient","Отримувач"
"Firstname","Ім'я"
"Lastname","Прізвище"
"Middlename","По батькові"
"Telephone","Телефон"
"City","Місто"
"Cities","Міста"
"Warehouse","Склад"
"Warehouses","Склади"
"Order","Замовлення"
"Increment Id","Номер замовлення"
"Cost","Вартість"
"Cost Control","Контроль оплати"
"Seats Amount","Кількість посилок"
"Description","Опис"
"Weight","Вага"
"Volume General","Загальний об'єм"
"Delivery","Доставка"
"Service Type","Тип доставки"
"Payment Method","Тип оплати"
"Payer Type","Тип платника"
"Cargo Type","Тип посилки"
"Send Date","Дата відправки"
"Delivary Date At","Дата доставки"
"Delivery Date At Interval","Час доставки"
"Saturday Delivery","Суботня доставка"
"Backward Delivery","Зворотня доставка"
"Redelivery String","Значення"
"Money","Гроші"
"Additional","Додатково"
"Additional Information","Додаткова інформація"
"Additional Documents","Супроводжуючі документи"
"Send","Відправити"
"Example: %s","Приклад: %s"
"Developer","Розробник"
"Free Delivery UA","Безкоштовна доставка Україна"
"Free Delivery Kiev","Безкоштовна доставка Київ"
"From:","Від:"
"Please choise the city","Виберіть місто"
"Please choise the warehouse","Виберіть склад"
"Default Sender","Відправник (стандартне значення)"
"Default Agent","Агент (стандартне значення)"
"Default Description","Опис (стандартне значення)"
"Default Payment Method","Тип оплати (стандартне значення)"
"Default Payer Type","Платник (стандартне значення)"
"Default Cargo Type","Тип доставки (стандартне значення)"
"Default Backward Delivery Payer Type","Платник (зворотня доставка) (стандартне значення)"
"Default Backward Delivery Cargo Type","Тип доставки (зворотня доставка) (стандартне значення)"
"Pucking Number","Номер пакета"
"On Air","В польоті"
"Update Cron for Cities and Warehouses","Cron вираз оновлення Міст та Складів"
"Only if 'On Air' mode is disabled","Тільки якщо режим 'В польоті' вимкнений"
"Cities and Warehouses direct from API","Міста та Склади напряму з API"
"Cities Management","Керування містами"
"Warehouses Management","Керування складами"
"Streets Management","Керування вулицями"
"Novaposhta: Register","Новая пошта: Реєстр"
"Novaposhta: Print Marks","Новая пошта: Друк Маркувань"
"Novaposhta: Print TTN","Новая пошта: Друк ТТН"
"Novaposhta: Add to Register","Новая пошта: Додати в Реєстр"
"Novaposhta: Delete from Register","Новая пошта: Видалити із Реєстру"
"Marks","Маркування"
"TTN","ТТН"
"Total (sm), min 5","Усього (см), мінімум 5"
"Default Width","Ширина (стандартне значення)"
"Default Length","Довжина (стандартне значення)"
"Default Height","Висота (стандартне значення)"
"Total Width","Ширина (Всього)"
"Total Height","Висота (Всього)"
"Total Length","Довжина (Всього)"
"Print Marks","Друк Маркувань"
"Print TTN","Друк ТТН"
"Print","Друк"
"Street","Вулиця"
"Streets","Вулиці"
"House","Дім"
"Flat","Квартира"
"Note","Коментар"